毕业生数7486 招生数7766 在校学生数32660	中山大学                      
毕业生数5793 招生数6115  在校学生数24895	华南理工大学                  
毕业生数4174 招生数5535  在校学生数22231	暨南大学                      
毕业生数9227 招生数9202  在校学生数37820	华南农业大学                  
毕业生数3466 招生数3020  在校学生数13992	南方医科大学                  
毕业生数3290 招生数3021  在校学生数13866	广州中医药大学                
毕业生数6966 招生数6108  在校学生数25682	华南师范大学                  
毕业生数10581 招生数9514 在校学生数41106	广东工业大学                  
毕业生数4966 招生数4959  在校学生数20054	广东外语外贸大学              
毕业生数5680 招生数7033  在校学生数23953	广东财经大学                    
毕业生数4020 招生数5450  在校学生数19065	仲恺农业工程学院              
毕业生数5048 招生数2964  在校学生数18517	广东药学院                    
毕业生数874  招生数1018  在校学生数3870	星海音乐学院                  
毕业生数1225 招生数1375  在校学生数5391	广州美术学院                  
毕业生数1837 招生数1803  在校学生数6433	广州体育学院                  
毕业生数3668 招生数3775  在校学生数20308	广东技术师范学院              
毕业生数5053 招生数5592  在校学生数21085	广东金融学院                  
毕业生数2051 招生数1522  在校学生数5627	广东警官学院                  
毕业生数8187 招生数9946  在校学生数37089	广州大学                      
毕业生数2683 招生数2968  在校学生数10465	广州医科大学                   
毕业生数2842 招生数4525  在校学生数17258	广东白云学院
毕业生数2853 招生数3219  在校学生数14619	广东培正学院
毕业生数2916 招生数3058  在校学生数10652	广东第二师范学院
毕业生数3692 招生数4182  在校学生数11735	广州民航职业技术学院          
毕业生数247  招生数1969  在校学生数12090	广州航海学院       
毕业生数6745 招生数7266  在校学生数21697	广东轻工职业技术学院          
毕业生数3119 招生数2732  在校学生数7270	广东省外语艺术职业学院        
毕业生数4873 招生数5284  在校学生数15032	广东机电职业技术学院          
毕业生数5157 招生数5221  在校学生数14831	广东工贸职业技术学院          
毕业生数4831 招生数4768  在校学生数13240	广东交通职业技术学院          
毕业生数4393 招生数4954  在校学生数12959	广东水利电力职业技术学院      
毕业生数     招生数1403  在校学生数2312	广东生态工程职业学院              
毕业生数1582 招生数1668  在校学生数4565	广东司法警官职业学院          
毕业生数1975 招生数2313  在校学生数6285	广东女子职业技术学院          
毕业生数6260 招生数6367  在校学生数18892	广东农工商职业技术学院        
毕业生数6261 招生数1599  在校学生数3931	广东邮电职业技术学院          
毕业生数6262 招生数2714  在校学生数7056	广东建设职业技术学院          
毕业生数6263 招生数927   在校学生数4108	广东行政职业学院              
毕业生数6264 招生数1085  在校学生数2562	广东体育职业技术学院          
毕业生数6265 招生数5107  在校学生数14877	广东食品药品职业学院      
毕业生数6266 招生数1663  在校学生数4394	广东文艺职业学院              
毕业生数6267 招生数2928  在校学生数8045	广州工程技术职业学院          
毕业生数6268 招生数4014  在校学生数11168	广州番禺职业技术学院              
毕业生数6269 招生数735   在校学生数1851	广州体育职业技术学院          
毕业生数6270 招生数4024  在校学生数10273	广东理工职业学院
毕业生数6271 招生数3408  在校学生数9425	广州城市职业学院
毕业生数3861 招生数3535  在校学生数11581	广东工程职业技术学院
毕业生数3862 招生数2490  在校学生数7830	广州铁路职业技术学院
毕业生数3863 招生数3033  在校学生数8019	广东科贸职业学院
毕业生数3864 招生数2415  在校学生数7235	广州科技贸易职业学院
毕业生数3865 招生数2210	广东青年职业学院
毕业生数3868 招生数2411	私立华联学院                  
毕业生数3865 招生数2210  在校学生数5630	广东青年职业学院
毕业生数3866 招生数781   在校学生数1334	广东舞蹈戏剧职业学院
毕业生数3867 招生数3918  在校学生数11203	民办南华工商学院              
毕业生数3868 招生数2411  在校学生数8057	私立华联学院                  
毕业生数3869 招生数5313  在校学生数15745	广东岭南职业技术学院          
毕业生数3870 招生数1344	广州康大职业技术学院          
毕业生数3871 招生数7052	广州工商学院          
毕业生数3872 招生数3658	广州涉外经济职业技术学院      
毕业生数3365 招生数3491	广州南洋理工职业学院          
毕业生数4168 招生数4914	广州科技职业技术学院          
毕业生数2378 招生数1928	广州现代信息工程职业技术学院
毕业生数1938 招生数1876	广州华南商贸职业学院
毕业生数3150 招生数4560	广州华立科技职业学院
毕业生数1492 招生数2974  	广州珠江职业技术学院
毕业生数1757 招生数1290  	广州松田职业学院
毕业生数5126 招生数6308	广州城建职业学院
毕业生数2998 招生数3138	广州华商职业学院
毕业生数2237 招生数3153	广州华夏职业学院
毕业生数884  招生数3153	广州东华职业学院
毕业生数4365 招生数2872	广东工业大学华立学院
毕业生数2223 招生数2664   	广州大学松田学院
毕业生数2473 招生数5060	广州商学院          
毕业生数3468 招生数5951	中山大学新华学院
毕业生数2883 招生数3853	广州大学华软软件学院
毕业生数4769 招生数4577	中山大学南方学院
毕业生数2042 招生数2382	广东外语外贸大学南国商学院
毕业生数4149 招生数6006	广东财经大学华商学院
毕业生数2931 招生数3415	华南农业大学珠江学院
毕业生数3124 招生数2747	广东技术师范学院天河学院
毕业生数3929 招生数5559	华南理工大学广州学院
毕业生数	公安边防部队高等专科学校
